X,Y,fid,Source,Impact,STATE,COUNTYNAME,FIPS
-82.2681,35.2474,"1",DOT,Road,NC,Polk,"37149"
-83.2713,35.1401,"2",DOT,Road,NC,Macon,"37113"
-82.186,35.5691,"3","DOT,S2",Road,NC,McDowell,"37111"
-81.204,36.4437,"4","DOT,S2",Road,NC,Alleghany,"37005"
-82.2789,35.926,"5",DOT,Road,NC,Yancey,"37199"
-81.2072,36.5176,"6",DOT,Road,NC,Alleghany,"37005"
-83.1016,35.1138,"7",DOT,Road,NC,Jackson,"37099"
-83.1423,35.2223,"8",DOT,Road,NC,Jackson,"37099"
-81.8703,36.0801,"9",DOT,Road,NC,Avery,"37011"
-82.2844,35.6193,"10",DOT,Road,NC,Buncombe,"37021"
-80.90377,36.55556,"11","DOT,S2",Road,NC,Surry,"37171"
-81.75696,35.64867,"12","DOT,S2",Road,NC,Burke,"37023"
-82.4939,35.4677,"13",DOT,Road,NC,Buncombe,"37021"
-81.24556,36.35615,"14",S2,Road,NC,Wilkes,"37193"
-82.38993,35.24486,"15",PC,Various,NC,Henderson,"37089"
-82.1793,35.76988,"16",DOT,Road,NC,Yancey,"37199"
-81.89001,35.79558,"17","DOT,NO",Road,NC,Burke,"37023"
-81.88678,36.06758,"18",DOT,Road,NC,Avery,"37011"
-82.33345,35.34563,"19","PL,S2",Road,NC,Henderson,"37089"
-81.60219,36.15394,"20","DOT,S2",Road,NC,Watauga,"37189"
-82.26192,35.61867,"21","MR,S2",Road,NC,McDowell,"37111"
-82.45099,35.3671,"22",DOT,Road,NC,Henderson,"37089"
-81.34579,36.12587,"23",S2,UNCLEAR,NC,Wilkes,"37193"
-82.75583,35.61999,"24",MR,Road,NC,Buncombe,"37021"
-81.87063,36.17895,"25",MR,Road,NC,Avery,"37011"
-81.70398,36.20578,"26","MR,NO,S2",Road,NC,Watauga,"37189"
-82.58139,35.25456,"27",MR,Road,NC,Henderson,"37089"
-82.27587,35.46827,"28","MR,S2",Building,NC,Henderson,"37089"
-82.37658,35.27343,"29","CAP,S2",River,NC,Henderson,"37089"
-82.47998,35.29404,"30",CAP,Road,NC,Henderson,"37089"
-82.18966,35.90728,"31","PL,S2",Road,NC,Yancey,"37199"
-82.28674,35.45164,"32","MR,UA",Road,NC,Henderson,"37089"
-82.34737,35.32012,"33",MR,Building,NC,Henderson,"37089"
-82.10687,35.39956,"34",CAP,River,NC,Rutherford,"37161"
-82.49551,35.62645,"35","MR,UA",Road,NC,Buncombe,"37021"
-82.29631,35.58211,"36","MR,NO",Road,NC,Buncombe,"37021"
-82.49952,35.62547,"37",MR,UNCLEAR,NC,Buncombe,"37021"
-82.31753,35.46619,"38","DOT,S2",Various,NC,Henderson,"37089"
-82.23396,35.62363,"39",DOT,Road,NC,McDowell,"37111"
-82.23309,35.6223,"40",DOT,Road,NC,McDowell,"37111"
-81.94186,35.87547,"41",DOT,Road,NC,McDowell,"37111"
-82.86533,35.61922,"42","DOT,S2",Road,NC,Haywood,"37087"
-82.76948,35.29635,"43",MR,Road,NC,Transylvania,"37175"
-82.38974,35.23402,"44","DOT,S2",Road,NC,Henderson,"37089"
-81.42732,36.85265,"45",S2,Various,VA,Smyth,"51173"
-82.01972,35.79628,"46","MR,UA",Road,NC,McDowell,"37111"
-82.12439,35.41951,"47",CAP,Other,NC,Rutherford,"37161"
-82.12787,35.41941,"48",CAP,Road,NC,Rutherford,"37161"
-82.16604,35.42747,"49",CAP,Road,NC,Rutherford,"37161"
-82.31908,35.34393,"50","PL,S2",NONE,NC,Henderson,"37089"
-82.36428,35.23615,"51","MR,S2",Road,NC,Henderson,"37089"
-81.76594,36.29465,"52",PL,Other,NC,Watauga,"37189"
-81.76526,36.29186,"53",PL,Other,NC,Watauga,"37189"
-81.75252,36.33492,"54","FO,S2",Building,NC,Watauga,"37189"
-81.75135,36.34507,"55","PL,S2",Road,TN,Johnson,"47091"
-81.75142,36.34327,"56","PL,S2",Road,TN,Johnson,"47091"
-82.47195,35.24888,"57","PL,S2",Building,NC,Henderson,"37089"
-81.65146,36.20946,"58",S2,Other,NC,Watauga,"37189"
-81.65028,36.20749,"59",S2,Road,NC,Watauga,"37189"
-82.18437,35.42699,"60",CAP,Road,NC,Rutherford,"37161"
-82.19582,35.63377,"61",CAP,Other,NC,McDowell,"37111"
-81.85601,36.14242,"62",FO,Road,NC,Avery,"37011"
-81.53,36.23982,"63",MR,Road,NC,Watauga,"37189"
-82.4278,35.62106,"64","PC,UA",UNCLEAR,NC,Buncombe,"37021"
-82.33081,35.87655,"65","PL,S2",Road,NC,Yancey,"37199"
-82.32979,35.88854,"66","PL,S2",Building,NC,Yancey,"37199"
-82.32012,35.89675,"67",PL,River,NC,Yancey,"37199"
-81.17428,36.69154,"68",DOT,Road,VA,Grayson,"51077"
-82.35313,35.25282,"69","CAP,S2",UNCLEAR,NC,Henderson,"37089"
-82.1885,35.25799,"70","CAP,S2",Road,NC,Polk,"37149"
-82.39325,35.61761,"71","PC,S2,UA",Building,NC,Buncombe,"37021"
-82.26228,35.4497,"72","S2,UA",Various,NC,Rutherford,"37161"
-82.37989,35.62897,"73","S2,UA",Building,NC,Buncombe,"37021"
-82.30691,35.58369,"74",S2,Building,NC,Buncombe,"37021"
-82.36752,35.55047,"75","S2,UA",UNCLEAR,NC,Buncombe,"37021"
-81.1439,36.56933,"76","MR,S2",Road,NC,Alleghany,"37005"
-82.21253,35.83234,"77",S2,Road,NC,Yancey,"37199"
-82.32113,35.57957,"78",S2,Road,NC,Buncombe,"37021"
-82.20304,35.84499,"79","PL,S2",Building,NC,Yancey,"37199"
-82.38735,35.57865,"80","NO,S2,UA",Road,NC,Buncombe,"37021"
-82.24006,35.60971,"81",S2,River,NC,McDowell,"37111"
-82.29646,35.61296,"82","S2,UA",NONE,NC,Buncombe,"37021"
-82.29725,35.61573,"83","S2,UA",Building,NC,Buncombe,"37021"
-82.29787,35.60782,"84",S2,Road,NC,Buncombe,"37021"
-82.36406,35.56719,"85",S2,NONE,NC,Buncombe,"37021"
-82.31719,35.58916,"86","NO,S2",Various,NC,Buncombe,"37021"
-82.37526,35.58721,"87","S2,UA",Building,NC,Buncombe,"37021"
-82.36368,35.17144,"88",S2,UNCLEAR,SC,Greenville,"45045"
-82.40002,35.58655,"89","S2,UA",Building,NC,Buncombe,"37021"
-82.42255,35.63924,"90",S2,UNCLEAR,NC,Buncombe,"37021"
-82.3922,35.65148,"91",S2,Other,NC,Buncombe,"37021"
-82.39631,35.65037,"92",S2,Other,NC,Buncombe,"37021"
-82.38482,35.64568,"93","PL,S2",River,NC,Buncombe,"37021"
-82.44335,35.6375,"94","S2,UA",NONE,NC,Buncombe,"37021"
-82.38116,35.66083,"95",S2,Various,NC,Buncombe,"37021"
-82.27066,35.22837,"96",S2,NONE,NC,Polk,"37149"
-82.42523,35.64712,"97","S2,UA",River,NC,Buncombe,"37021"
-82.35029,35.71026,"98","S2,UA",UNCLEAR,NC,Buncombe,"37021"
