EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1209460,THOMAS CO.,NEWARK,9/27/24,100,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,275,TAE,0,0,County Official,Heavy Rain / Tropical System, , ,2.16,SSW,2.3,SW,NEWARK,9/27/24,400,30.79,-83.9,30.8101,-83.8985,Water was flowing over the bridge on Cone Road.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",101
1209444,THOMAS CO.,DILLON,9/25/24,1900,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,275,TAE,0,0,Law Enforcement,Heavy Rain, , ,2.47,WNW,2.48,WNW,DILLON,9/25/24,2245,30.9,-83.93,30.9012,-83.9289,Water was reported over the roadway at Highway 319N and Sanford Road.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",8
1209443,THOMAS CO.,THOMASVILLE MUNICIPAL ARPT,9/25/24,1900,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,275,TAE,0,0,Law Enforcement,Heavy Rain, , ,0.86,WNW,0.43,WNW,THOMASVILLE MUNICIPAL ARPT,9/25/24,2245,30.9037,-83.8939,30.9039,-83.8876,Water was reported over the roadway at Airport Road and Dillon Road.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",7
1209462,THOMAS CO.,CHASTAIN,9/27/24,130,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,275,TAE,0,0,County Official,Heavy Rain / Tropical System, , ,1.93,E,1.86,E,CHASTAIN,9/27/24,400,31.0305,-83.8974,31.0296,-83.9021,Water was flowing over the roadway near Rocky Ford Road and Eric Hall Road.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",109
1209465,COLQUITT CO.,MOULTRIE,9/27/24,200,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,71,TAE,0,0,Law Enforcement,Heavy Rain / Tropical System, , ,0.73,ENE,0.41,NE,MOULTRIE,9/27/24,400,31.1732,-83.7682,31.1792,-83.7711,Talmadge Drive was flooded.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",118
1209442,COLQUITT CO.,MOULTRIE,9/25/24,1821,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,71,TAE,0,0,Law Enforcement,Heavy Rain, , ,0.72,WNW,0.42,NNW,MOULTRIE,9/25/24,2245,31.175,-83.7907,31.1832,-83.7896,Water was reported over the road at 1st Ave and 3rd Street.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",6
1209438,COLQUITT CO.,PINEBORO,9/25/24,1721,Funnel Cloud, , ,0,0,0,0,GA,EST-5, ,195638,C,71,TAE,0,0,Trained Spotter, , , ,0.91,NW,0.91,NW,PINEBORO,9/25/24,1721,31.18,-83.68,31.18,-83.68,A trained spotter called and sent in pictures of a funnel cloud.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",4
1209439,COLQUITT CO.,COOL SPRINGS,9/25/24,1735,Tornado, ,EFU,0,0,0,0,GA,EST-5, ,195638,C,71,TAE,0,0,Law Enforcement, ,0.18,25,3.03,WNW,3.11,SSE,NORMAN PARK,9/25/24,1736,31.23,-83.65,31.2324,-83.6511,The Georgia Highway Patrol reported a brief tornado touchdown with no damage.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",5
1209455,TIFT CO.,TIFTON,9/25/24,2157,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,277,TAE,0,0,911 Call Center,Heavy Rain, , ,3,W,3,SW,TIFTON,9/25/24,2315,31.45,-83.5509,31.4193,-83.536,Several roads were flooded in the Tifton area.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",10
1209469,TIFT CO.,TIFTON,9/27/24,230,Flash Flood, , ,0,0,0,0,GA,EST-5, ,195638,C,277,TAE,0,0,Emergency Manager,Heavy Rain / Tropical System, , ,5,N,5,NW,TIFTON,9/27/24,400,31.5224,-83.5,31.5012,-83.56,Tift county reported road washouts due to flash flooding.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgia���s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018.",130
