EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1216922,ROWAN CO.,LIBERTY,9/24/24,1624,Thunderstorm Wind,50, ,0,0,0,0,NC,EST-5,EG,196692,C,159,GSP,0,0,Trained Spotter, , , ,1.69,E,1,NW,POOLETOWN,9/24/24,1630,35.58,-80.32,35.592,-80.24,"Spotter reported multiple trees blown down near the intersection of Panther Creek Rd and Stokes Ferry Rd, with additional trees as well as power lines blown down on Bringle Ferry Rd.",Scattered thunderstorms developed across western North Carolina throughout the afternoon and evening. A couple of the storms produced brief damaging wind gusts across the Piedmont.,1
1210490,RANDOLPH CO.,MARTHA,9/24/24,1708,Thunderstorm Wind,50, ,0,0,2000,0,NC,EST-5,EG,195702,C,151,RAH,0,0,911 Call Center, , , ,0.62,S,0.62,S,MARTHA,9/24/24,1708,35.6111,-80.0185,35.6111,-80.0185,Trees were reported down at North Carolina Highway 49 S and Salem Church Rd.,"A stalled frontal boundary over central North Carolina slowly edged northward into Virginia. That northward movement combined with forcing aloft to produce scattered to numerous showers and storms in the evening and into the early morning hours of 25 September. Severe gusts occurred in Randolph County, as well as flash flooding over the northern and northeast Piedmont.",2
1211167,SURRY CO.,TOAST,9/24/24,1722,Thunderstorm Wind,50, ,0,0,500,0,NC,EST-5,EG,195807,C,171,RNK,0,0,911 Call Center, , , ,1.62,NNW,1.62,NNW,TOAST,9/24/24,1722,36.5228,-80.6366,36.5228,-80.6366,"A tree was downed by thunderstorm winds on Galax Trail near Twelve Oaks Nursing Home, and blocked both lanes of the road.","A warm front was situated across central Virginia and North Carolina, while a stationary front was positioned across Kentucky and West Virginia, which kept an moist airmass over much of the area. Lift across the warm front and increasing instability via diurnal heating through the day resulted in a couple of severe thunderstorms in Surry County.",3
1211164,SURRY CO.,SALEM,9/24/24,1727,Thunderstorm Wind,50, ,0,0,2500,0,NC,EST-5,EG,195807,C,171,RNK,0,0,911 Call Center, , , ,0.72,SE,0.72,SE,SALEM,9/24/24,1727,36.5217,-80.5921,36.5217,-80.5921,A tree and a couple power lines were downed near the intersection of Riverside Drive and Jackson Road.,"A warm front was situated across central Virginia and North Carolina, while a stationary front was positioned across Kentucky and West Virginia, which kept an moist airmass over much of the area. Lift across the warm front and increasing instability via diurnal heating through the day resulted in a couple of severe thunderstorms in Surry County.",4
1210491,RANDOLPH CO.,AUMAN CORNER,9/24/24,1742,Thunderstorm Wind,50, ,0,0,2000,0,NC,EST-5,EG,195702,C,151,RAH,0,0,911 Call Center, , , ,0.86,NE,0.86,NE,AUMAN CORNER,9/24/24,1742,35.5586,-79.8391,35.5586,-79.8391,Trees down at the intersection of North Carolina Highway 134 and Burney Rd.,"A stalled frontal boundary over central North Carolina slowly edged northward into Virginia. That northward movement combined with forcing aloft to produce scattered to numerous showers and storms in the evening and into the early morning hours of 25 September. Severe gusts occurred in Randolph County, as well as flash flooding over the northern and northeast Piedmont.",5
1210493,ALAMANCE CO.,GRAHAM,9/24/24,1930,Flash Flood, , ,0,0,20000,0,NC,EST-5, ,195702,C,1,RAH,0,0,911 Call Center,Heavy Rain, , ,1.08,SSW,1.63,SSW,GRAHAM,9/24/24,2200,36.0653,-79.4066,36.0741,-79.4025,Multiple cards were stranded in flood waters along W Harden St in Graham. Two water rescues were reported.,"A stalled frontal boundary over central North Carolina slowly edged northward into Virginia. That northward movement combined with forcing aloft to produce scattered to numerous showers and storms in the evening and into the early morning hours of 25 September. Severe gusts occurred in Randolph County, as well as flash flooding over the northern and northeast Piedmont.",6
1219103,CASWELL CO.,PURLEY,9/24/24,2115,Flood, , ,0,0,0,0,NC,EST-5, ,195807,C,33,RNK,0,0,Social Media,Heavy Rain, , ,0.79,S,0.78,S,PURLEY,9/24/24,2230,36.4586,-79.3712,36.4587,-79.3705,A Facebook post submitted by a member of the public reported the intersection of Melvin Wrenn Road and Highway 86 was covered with around 6 inches of standing water due to runoff from heavy rain.  No damage was reported to the road.,"A warm front was situated across central Virginia and North Carolina, while a stationary front was positioned across Kentucky and West Virginia, which kept an moist airmass over much of the area. Lift across the warm front and increasing instability via diurnal heating through the day resulted in a couple of severe thunderstorms in Surry County.",7
1210494,VANCE CO.,GILLBURG,9/24/24,2300,Flash Flood, , ,0,0,1000,0,NC,EST-5, ,195702,C,181,RAH,0,0,911 Call Center,Heavy Rain, , ,1.09,NNW,0.94,SSE,NORTH HENDERSON,9/25/24,30,36.2943,-78.3783,36.3291,-78.3556,"A flooded road was reported in the town of Henderson, briefly closing the road.","A stalled frontal boundary over central North Carolina slowly edged northward into Virginia. That northward movement combined with forcing aloft to produce scattered to numerous showers and storms in the evening and into the early morning hours of 25 September. Severe gusts occurred in Randolph County, as well as flash flooding over the northern and northeast Piedmont.",8
1216923,DAVIE CO.,MOCKSVILLE,9/24/24,2325,Thunderstorm Wind,50, ,0,0,0,0,NC,EST-5,EG,196692,C,59,GSP,0,0,Public, , , ,1.56,SSE,1.56,SSE,MOCKSVILLE,9/24/24,2325,35.879,-80.56,35.879,-80.56,Public reported several trees blown down on adjacent properties on the south side of Mocksville.,Scattered thunderstorms developed across western North Carolina throughout the afternoon and evening. A couple of the storms produced brief damaging wind gusts across the Piedmont.,9
1210492,WAKE CO.,WESTOVER,9/25/24,30,Flash Flood, , ,0,0,40000,0,NC,EST-5, ,195702,C,183,RAH,0,0,911 Call Center,Heavy Rain, , ,1.31,NNW,3.76,N,FRIENDSHIP,9/25/24,246,35.7964,-78.732,35.7113,-78.899,"Flooded roads across the county led to multiple stalled out cars in flood waters. No water rescues were reported, however.","A stalled frontal boundary over central North Carolina slowly edged northward into Virginia. That northward movement combined with forcing aloft to produce scattered to numerous showers and storms in the evening and into the early morning hours of 25 September. Severe gusts occurred in Randolph County, as well as flash flooding over the northern and northeast Piedmont.",10
