EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1216918,UNION CO.,DELTA,09/24/2024,1440,Thunderstorm Wind,50.00, ,0,0,5000,0,SC,EST-5,EG,196691,C,87,GSP,0,0,Emergency Manager, , , ,4.85,NW,4.85,NW,DELTA,09/24/2024,1440,34.57,-81.62,34.57,-81.62,"Emergency manager reported multiple trees blown down in the area around Hickory Nut Hollow Rd and Eaves Rd, with one tree on a barn.","Scattered thunderstorms developed over upstate South Carolina during the afternoon and evening. A few of the storms produced severe weather, mainly in the form of damaging wind gusts, but some marginal large hail also occurred.",1
1216919,GREENVILLE CO.,JUDSON,09/24/2024,1901,Thunderstorm Wind,55.00, ,0,0,150000,0,SC,EST-5,EG,196691,C,45,GSP,0,0,NWS Employee, , , ,0.76,N,0.98,NW,GREENVILLE DOWNTOWN,09/24/2024,1915,34.841,-82.421,34.861,-82.361,"NWS employees and emergency management reported numerous trees blown down throughout the city of Greenville, with multiple trees down on homes.","Scattered thunderstorms developed over upstate South Carolina during the afternoon and evening. A few of the storms produced severe weather, mainly in the form of damaging wind gusts, but some marginal large hail also occurred.",2
1216921,OCONEE CO.,TAMASSEE,09/24/2024,1947,Hail,1.00, ,0,0,0,0,SC,EST-5, ,196691,C,73,GSP,0,0,Amateur Radio, , , ,4.35,N,4.35,N,TAMASSEE,09/24/2024,1947,34.932,-83.017,34.932,-83.017,"Ham radio operator reported quarter size hail along North Little River Rd.","Scattered thunderstorms developed over upstate South Carolina during the afternoon and evening. A few of the storms produced severe weather, mainly in the form of damaging wind gusts, but some marginal large hail also occurred.",3
1216920,CHEROKEE CO.,BLACKSBURG,09/24/2024,2105,Thunderstorm Wind,60.00, ,0,0,0,0,SC,EST-5,EG,196691,C,21,GSP,0,0,Emergency Manager, , , ,2.84,NNW,2.84,NNW,BLACKSBURG,09/24/2024,2105,35.159,-81.516,35.159,-81.516,"Emergency management reported numerous trees blown down and several power poles snapped in an area centered around North Mountain St, mainly between Mount Paran Rd and Holly Ridge Rd.","Scattered thunderstorms developed over upstate South Carolina during the afternoon and evening. A few of the storms produced severe weather, mainly in the form of damaging wind gusts, but some marginal large hail also occurred.",4
1219191,GREENVILLE CO.,RIVER FALLS,09/25/2024,1739,Tornado, ,EF0,0,0,5000,0,SC,EST-5, ,197038,C,45,GSP,0,0,Emergency Manager, ,0.24,50,1.64,SW,1.45,SW,RIVER FALLS,09/25/2024,1740,35.102,-82.549,35.103,-82.545,"Emergency manager reported a brief tornado touched down in an area between Jones Gap State Park and River Falls Rd. Multiple trees were blown down and some outbuildings were damaged.","A plume of moisture extending from an intensifying Tropical Cyclone Helene over the Gulf of Mexico interacted with a slow-moving cold front to produce a band of widespread heavy rain showers and embedded scattered thunderstorms over the southern Appalachians and vicinity on the 25th and 26th. One of the embedded storms produced a brief, weak tornado in northern Greenville County.",5
1216962,BEAUFORT CO.,DAUFUSKIE IS,09/26/2024,603,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,196703,C,13,CHS,0,0,NWS Storm Survey, ,6.47,150,1.79,NNW,3.58,SW,BLUFFTON,09/26/2024,616,32.1046,-80.8598,32.1891,-80.9075,"A National Weather Service storm survey team confirmed that an EF-0 tornado with estimated peak winds of 80 mph and associated with an outer band of Hurricane Helene, started on Daufuskie Island near Driftwood Cottage Lane. The tornado then continued northward across Daufuskie Island, snapping trees on Stoddard Court and on Martinangel Lane near Captain Monroe Lane. The tornado then crossed over the marsh between Daufuskie Island and Palmetto Bluff. Trees were snapped between Corley Street and Maritime Road near Old Moreland Road. Trees were also snapped on Amaranth Road at Moreland Road. The tornado then dissipated just north of Big House Plantation Road.","Helene first developed into a tropical storm in the northwest Caribbean Sea in the late morning of September 24, and strengthened into a hurricane near the Yucatan peninsula about 24 hours later. Helene continued to strengthen and became a major hurricane as it moved to the north-northeast across the eastern Gulf of Mexico. Helene made landfall in the Big Bend region of Florida in the late evening hours of September 26 as a category 4 hurricane. Once inland, Helene moved quickly northward through the state of Georgia and produced widespread significant impacts across multiple states. ||The very large wind field associated with Helen produced widespread tropical storm force winds across southeast South Carolina during the evening and overnight hours of September 26-27.  The peak observed wind gust in southeast South Carolina was 75 mph at the Beaufort Marine Corps Air Station (KNBC).  Wind impacts due to Helene were significant including widespread tree damage and power outages with several counties reporting near 100 percent power outages.  Conditions along the east side of the track of Helene were very conducive to tropical tornadoes, and 8 tornadoes were confirmed across southeast South Carolina.  Fortunately, there were no injuries or fatalities due to the tornadoes or strong winds associated with Helene.  |Helene also produced heavy rainfall across southeast South Carolina.  Rainfall amounts ranged from 2-5 inches in most areas, with the heaviest swath of rain occurring across Jasper, Hampton, Allendale, and Colleton counties where amounts were more on the order of 5-8 inches.  However, no significant flooding or flash flooding was observed due to heavy rainfall.  ||Helene did produce modest storm surge along the southeast South Carolina coast, resulting in a peak observed tide level of 2.26 ft MHHW (8.02 ft MLLW) at the Charleston Harbor National Ocean Service (NOS) tide gage.",6
1216963,BEAUFORT CO.,PRITCHARDVILLE,09/26/2024,620,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,196703,C,13,CHS,0,0,NWS Storm Survey, ,1.27,100,2.62,ESE,2.33,E,PRITCHARDVILLE,09/26/2024,622,32.2166,-80.9281,32.2349,-80.9305,"A National Weather Service storm survey team confirmed an EF-0 tornado with estimated peak winds of 76 mph near Pritchardville. The brief, relatively weak tornado, associated with an outer band of Hurricane Helene, developed near Headwaters Road. At this point, the there was only some minor and sporadic damage to small limbs and branches. As it moved rapidly northward, it crossed the far western marshy area of the May River. It then crossed May River Road, where its snapped and uprooted some trees, before it dissipated just to the north.","Helene first developed into a tropical storm in the northwest Caribbean Sea in the late morning of September 24, and strengthened into a hurricane near the Yucatan peninsula about 24 hours later. Helene continued to strengthen and became a major hurricane as it moved to the north-northeast across the eastern Gulf of Mexico. Helene made landfall in the Big Bend region of Florida in the late evening hours of September 26 as a category 4 hurricane. Once inland, Helene moved quickly northward through the state of Georgia and produced widespread significant impacts across multiple states. ||The very large wind field associated with Helen produced widespread tropical storm force winds across southeast South Carolina during the evening and overnight hours of September 26-27.  The peak observed wind gust in southeast South Carolina was 75 mph at the Beaufort Marine Corps Air Station (KNBC).  Wind impacts due to Helene were significant including widespread tree damage and power outages with several counties reporting near 100 percent power outages.  Conditions along the east side of the track of Helene were very conducive to tropical tornadoes, and 8 tornadoes were confirmed across southeast South Carolina.  Fortunately, there were no injuries or fatalities due to the tornadoes or strong winds associated with Helene.  |Helene also produced heavy rainfall across southeast South Carolina.  Rainfall amounts ranged from 2-5 inches in most areas, with the heaviest swath of rain occurring across Jasper, Hampton, Allendale, and Colleton counties where amounts were more on the order of 5-8 inches.  However, no significant flooding or flash flooding was observed due to heavy rainfall.  ||Helene did produce modest storm surge along the southeast South Carolina coast, resulting in a peak observed tide level of 2.26 ft MHHW (8.02 ft MLLW) at the Charleston Harbor National Ocean Service (NOS) tide gage.",7
1207234,ORANGEBURG CO.,ROWESVILLE,09/26/2024,939,Tornado, ,EF1,0,0,0,0,SC,EST-5, ,195267,C,75,CAE,0,0,NWS Storm Survey, ,13.36,1100,4.96,SW,1.88,W,GREAT BRANCH,09/26/2024,1003,33.3231,-80.915,33.4957,-81.0022,"A long-track, EF1 tornado touched down east of Canaan, SC on|9/26/24. It produced widespread tree damage along its path|northwestward, producing EF1 damage to trees in multiple spots|west of Cordova, SC. The tornado initially moved north before crossing |Blewer Road and Elder Branch Road, causing EF1 tree damage in the |area. The tornado then turned northwest near Cordova and caused |additional EF1 tree damage along Leraleigh Road. It finally lifted near |Gravel Hill, SC after producing mostly minor tree damage near the town.","Tropical Storm Helene formed in the NW Caribbean Sea on September 24. Helene moved northward into the Gulf of Mexico where it strengthened into a hurricane on September 25. During the day on September 26, Helene remained off the coast of Florida and an upper low over the southeast US led to strong moisture transport and strong forcing over the area. Heavy rain rates and training bands led to flash flooding developing. Increasing shear associated with the hurricane also led to the development of several tornadoes in heavy rain bands.",8
1207243,RICHLAND CO.,OLYMPIA MILLS,09/26/2024,1030,Flash Flood, , ,0,0,0,0,SC,EST-5, ,195267,C,79,CAE,0,0,Other Federal Agency,Heavy Rain / Tropical System, , ,0.71,NW,0.7,NW,OLYMPIA MILLS,09/26/2024,1130,33.9877,-81.0284,33.9875,-81.0281,"USGS gage along Rocky Branch Creek at the intersection of Whaley St and Main St in Columbia exceed flood stage and crested at 9.56 feet. The roadway was closed due to flooding.","Tropical Storm Helene formed in the NW Caribbean Sea on September 24. Helene moved northward into the Gulf of Mexico where it strengthened into a hurricane on September 25. During the day on September 26, Helene remained off the coast of Florida and an upper low over the southeast US led to strong moisture transport and strong forcing over the area. Heavy rain rates and training bands led to flash flooding developing. Increasing shear associated with the hurricane also led to the development of several tornadoes in heavy rain bands.",9
1207242,RICHLAND CO.,ARTHURTOWN,09/26/2024,1050,Flash Flood, , ,0,0,5000,0,SC,EST-5, ,195267,C,79,CAE,0,0,Emergency Manager,Heavy Rain / Tropical System, , ,0.32,NE,0.33,NE,ARTHURTOWN,09/26/2024,1120,33.9732,-81.0161,33.9735,-81.0157,"Richland County EM reported a car stuck in floodwaters at Key Rd near Market St.","Tropical Storm Helene formed in the NW Caribbean Sea on September 24. Helene moved northward into the Gulf of Mexico where it strengthened into a hurricane on September 25. During the day on September 26, Helene remained off the coast of Florida and an upper low over the southeast US led to strong moisture transport and strong forcing over the area. Heavy rain rates and training bands led to flash flooding developing. Increasing shear associated with the hurricane also led to the development of several tornadoes in heavy rain bands.",10
