EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1207147,ROBERTSON CO.,SPRINGFIELD,09/24/2024,416,Lightning, , ,0,0,25000,0,TN,CST-6, ,195293,C,147,OHX,0,0,Emergency Manager, , , ,0.25,W,0.25,W,SPRINGFIELD,09/24/2024,416,36.5007,-86.8844,36.5007,-86.8844,"The Robertson County Emergency Operations Center was struck by lightning, causing minor damage.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",1
1207099,ROBERTSON CO.,RIDGETON,09/24/2024,1247,Thunderstorm Wind,52.00, ,0,0,10000,0,TN,CST-6,EG,195293,C,147,OHX,0,0,Emergency Manager, , , ,0.42,SW,0.42,SW,RIDGETON,09/24/2024,1247,36.3953,-86.7747,36.3953,-86.7747,"Severe thunderstorm winds downed a few powerline at the intersection of Highland Road and Obryan Avenue in Ridgetop. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",2
1207112,DICKSON CO.,WHITE BLUFF,09/24/2024,1253,Thunderstorm Wind,52.00, ,0,0,10000,0,TN,CST-6,EG,195293,C,43,OHX,0,0,Social Media, , , ,4,WNW,4,WNW,WHITE BLUFF,09/24/2024,1253,36.1422,-87.2862,36.1422,-87.2862,"Severe thunderstorm winds downed trees onto powerlines near White Bluff. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",3
1207114,SUMNER CO.,BETHPAGE,09/24/2024,1340,Hail,1.00, ,0,0,0,0,TN,CST-6, ,195293,C,165,OHX,0,0,Emergency Manager, , , ,0,NE,0,NE,BETHPAGE,09/24/2024,1340,36.48,-86.32,36.48,-86.32,"Estimated quarter size hail fell from a severe thunderstorm in Bethpage.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",4
1207145,DAVIDSON CO.,BELLE MEADE,09/24/2024,1340,Lightning, , ,0,0,50000,0,TN,CST-6, ,195293,C,37,OHX,0,0,State Official, , , ,1.34,SW,1.34,SW,BELLE MEADE,09/24/2024,1340,36.0888,-86.8895,36.0888,-86.8895,"Lightning struck a house on Miles Court in Belle Meade, causing a fire. Extent of damages is unknown.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",5
1207144,DAVIDSON CO.,OAK HILL,09/24/2024,1341,Lightning, , ,0,0,50000,0,TN,CST-6, ,195293,C,37,OHX,0,0,State Official, , , ,0.76,NW,0.76,NW,OAK HILL,09/24/2024,1341,36.1079,-86.8296,36.1079,-86.8296,"Lightning struck a house on Kensington Park, causing a fire. Extent of damages is unknown.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",6
1207146,DAVIDSON CO.,BELLE MEADE,09/24/2024,1344,Lightning, , ,0,0,50000,0,TN,CST-6, ,195293,C,37,OHX,0,0,State Official, , , ,1.13,S,1.13,S,BELLE MEADE,09/24/2024,1344,36.0839,-86.8661,36.0839,-86.8661,"Lightning struck a house on Belle Meade Boulevard in Belle Meade, causing a fire. Extent of damages is unknown.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",7
1207133,DAVIDSON CO.,BELLE MEADE,09/24/2024,1346,Thunderstorm Wind,52.00, ,0,0,10000,0,TN,CST-6,EG,195293,C,37,OHX,0,0,Social Media, , , ,1,S,1,S,BELLE MEADE,09/24/2024,1346,36.0855,-86.87,36.0855,-86.87,"Severe thunderstorm winds downed multiple trees in the Belle Meade area. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",8
1207110,DAVIDSON CO.,PROVIDENCE,09/24/2024,1353,Thunderstorm Wind,52.00, ,0,0,1000,0,TN,CST-6,EG,195293,C,37,OHX,0,0,Social Media, , , ,2.58,W,2.58,W,PROVIDENCE,09/24/2024,1353,36.0783,-86.7662,36.0783,-86.7662,"Severe thunderstorm winds downed a tree near I-65 at Harding Place in Oak Hill. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",9
1207118,DAVIDSON CO.,OAK HILL,09/24/2024,1355,Thunderstorm Wind,52.00, ,0,0,10000,0,TN,CST-6,EG,195293,C,37,OHX,0,0,Social Media, , , ,2,ESE,2,ESE,OAK HILL,09/24/2024,1355,36.0889,-86.7869,36.0889,-86.7869,"Severe thunderstorm winds downed several trees in the Crieve Hall area. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",10
